,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,336.82563281059265,5.402055997410833,10.950326871871948,0.7456009810074948,20,log2,850,10,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__n_estimators': 850, 'select__k': 10}",0.6378110409843527,0.6526974449163034,0.6401904421750076,0.6406971289186152,0.6372609832521308,0.641731408049282,0.0056400753453380624,1
0,289.9721545219421,3.788917755636494,9.669613313674926,0.4524609725569181,20,log2,700,10,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__n_estimators': 700, 'select__k': 10}",0.6384356563349638,0.6418746026005355,0.6402586075625001,0.6394950082878597,0.637081245943995,0.6394290241459709,0.001623099419198354,2
3,283.8871001243591,26.541173641077968,8.679531574249268,1.5384963060163366,24,log2,850,10,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__n_estimators': 850, 'select__k': 10}",0.6365754607540005,0.6418401183132308,0.6418355702199026,0.6397535093698122,0.6360535782359317,0.6392116473785755,0.0024903945702807848,3
2,298.935760641098,0.9839202322693916,17.60299677848816,5.006300551116904,24,log2,700,10,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__n_estimators': 700, 'select__k': 10}",0.6361586865625855,0.6425528452426871,0.6414381894499259,0.638996782273933,0.6362946008972585,0.639088220885278,0.0026046427470087312,4
