,feature,importance
9,milestone,0.12036523053572024
1,city,0.11942255543003938
5,person_age,0.11935636249045113
7,general_veichle_brand,0.11453883651687453
4,veichle_manufacturing_year,0.11313321165704704
8,general_cause_of_accident,0.10664777727394377
2,type_of_accident,0.1058987245710553
3,veichle_type,0.10111630190794042
0,state,0.07956687904355873
6,person_sex,0.0199541205733694
