,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,71.31540012359619,9.156597281726398,1.2716461181640626,0.0683672041443967,0.25,400,10,"{'clf__learning_rate': 0.25, 'clf__n_estimators': 400, 'select__k': 10}",0.6380092365748896,0.6457723035502783,0.6571566988101668,0.6426564295725177,0.657839974749138,0.648286928651398,0.007919473797051272,1
6,125.87811665534973,10.814284050351619,1.3168378353118897,0.11191921250706582,0.3,400,10,"{'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'select__k': 10}",0.6387847004262632,0.6443617984990363,0.6409913195078967,0.6388753856832317,0.6556976755400762,0.6437421759313009,0.006311058941030542,2
0,62.860173845291136,4.426522538034406,1.325472927093506,0.05322629345593125,0.2,400,10,"{'clf__learning_rate': 0.2, 'clf__n_estimators': 400, 'select__k': 10}",0.6378629308883333,0.6458331134117824,0.6436152440683273,0.6452781453376376,0.6454756581452652,0.6436130183702692,0.0029743707820597425,3
2,94.17943949699402,12.446944111832208,1.5211945056915284,0.0966626988531044,0.2,600,10,"{'clf__learning_rate': 0.2, 'clf__n_estimators': 600, 'select__k': 10}",0.6396081055759026,0.6448995656423913,0.6443767868549612,0.644057070097794,0.6434354698333191,0.6432753996008737,0.0018940245998689943,4
1,69.38112592697144,7.5018834738375455,1.577451801300049,0.3485614575095603,0.2,500,10,"{'clf__learning_rate': 0.2, 'clf__n_estimators': 500, 'select__k': 10}",0.6383996719751648,0.6498623266219934,0.642342250461095,0.6403299395553312,0.6436141958925761,0.6429096769012321,0.00390263621468156,5
7,131.28675756454467,5.161258748605666,1.4344582557678223,0.20090264268571478,0.3,500,10,"{'clf__learning_rate': 0.3, 'clf__n_estimators': 500, 'select__k': 10}",0.6351383016684273,0.6539410719413522,0.6389941948374155,0.6403028101277108,0.6407967120477212,0.6418346181245254,0.006370220833103019,6
4,67.0107659816742,13.868340047298947,1.2999278068542481,0.08581395032760636,0.25,500,10,"{'clf__learning_rate': 0.25, 'clf__n_estimators': 500, 'select__k': 10}",0.637446936602368,0.6441337017025218,0.6415505800326655,0.643192484909599,0.6421283324497858,0.6416904071393881,0.0022997520886312954,7
5,126.89626684188843,22.593420054940477,1.6827686309814454,0.2767842021597829,0.25,600,10,"{'clf__learning_rate': 0.25, 'clf__n_estimators': 600, 'select__k': 10}",0.6382068322365685,0.6427469547276875,0.641593921100106,0.6407503889089893,0.6395091493818209,0.6405614492710344,0.0015830152748165967,8
8,71.75916013717651,16.512489781693663,1.1535894870758057,0.2603150083870483,0.3,600,10,"{'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'select__k': 10}",0.6340928904512358,0.6372481567468854,0.6407164663126534,0.6360198513120549,0.6373068217298502,0.6370768373105359,0.002161032193909439,9
