,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,259.91180210113527,0.6803563419963174,4.288476657867432,0.1324816788928285,0.6,700,10,"{'clf__learning_rate': 0.6, 'clf__n_estimators': 700, 'select__k': 10}",0.592852346224863,0.5964522097542809,0.6054462214193854,0.6013050448306766,0.6031953150827788,0.599850227462397,0.0045855887144189145,1
7,268.04416432380674,10.571285874654658,3.289668083190918,0.3287279394269447,0.65,800,10,"{'clf__learning_rate': 0.65, 'clf__n_estimators': 800, 'select__k': 10}",0.5947318221269735,0.600419335401702,0.5962292369518428,0.597737939779958,0.6067546898415472,0.5991746048204046,0.004230474193950749,2
3,292.47015557289126,1.2697485684981504,4.602009105682373,0.1272310357584743,0.6,800,10,"{'clf__learning_rate': 0.6, 'clf__n_estimators': 800, 'select__k': 10}",0.5915248250223051,0.599894352594254,0.6018775068515629,0.5996504949538753,0.5959679315828518,0.5977830222009698,0.003665230168636628,3
5,229.75190634727477,1.8446154222621844,3.824903869628906,0.11734811051400221,0.65,600,10,"{'clf__learning_rate': 0.65, 'clf__n_estimators': 600, 'select__k': 10}",0.5916618977848537,0.6092278495598575,0.5928220877577677,0.5977397649783233,0.5953407927747808,0.5973584785711166,0.006294891217984266,4
6,259.8715000629425,1.4270323377110867,4.174445533752442,0.2068346404289014,0.65,700,10,"{'clf__learning_rate': 0.65, 'clf__n_estimators': 700, 'select__k': 10}",0.596093373058895,0.5981760934652415,0.5924311861429353,0.6000625588646533,0.5978185083551149,0.5969163439773679,0.002572681845315262,5
1,228.54501843452454,0.764697979042489,3.695759630203247,0.15723532897017165,0.6,600,10,"{'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'select__k': 10}",0.5875361220123861,0.5941325203917638,0.5895544570905427,0.6097400232897586,0.5918526197594461,0.5945631485087796,0.007903619751705938,6
4,198.1858823299408,0.3147575440968034,3.3033602237701416,0.0747649895923853,0.65,500,10,"{'clf__learning_rate': 0.65, 'clf__n_estimators': 500, 'select__k': 10}",0.5895452718568363,0.5963561891267025,0.5924593197974076,0.5932211660445426,0.6007818775085745,0.5944727648668128,0.0038276059695837605,7
0,197.25654673576355,0.8571442754994907,3.70390248298645,0.14135285256217772,0.6,500,10,"{'clf__learning_rate': 0.6, 'clf__n_estimators': 500, 'select__k': 10}",0.5827814294503841,0.5918040390768854,0.6005099735767699,0.5953297154377379,0.5908886477737435,0.5922627610631042,0.005820944695230368,8
