,feature,importance
3,veichle_type,0.28942403515044013
4,veichle_manufacturing_year,0.219743741274056
2,type_of_accident,0.1712018185005901
8,general_cause_of_accident,0.16247839671115527
7,general_veichle_brand,0.054794672005241414
6,person_sex,0.030497552068730168
5,person_age,0.028006457865997852
1,city,0.0172021486466082
9,milestone,0.015717093922940628
0,state,0.010934083854239864
