,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,73.09743175506591,1.8153007174700388,2.5946229457855225,0.26724913596061156,0.3,500,10,"{'clf__learning_rate': 0.3, 'clf__n_estimators': 500, 'select__k': 10}",0.6420791726490286,0.6426666643593735,0.6553663410617293,0.6545722590773139,0.643209039835837,0.6475786953966565,0.0060501908572085,1
1,81.24339427947999,0.92775132003623,2.5666195869445803,0.4385910070858416,0.2,600,10,"{'clf__learning_rate': 0.2, 'clf__n_estimators': 600, 'select__k': 10}",0.6531392500609079,0.6449176150329787,0.6461126721504117,0.6443157039654818,0.6460051264551044,0.6468980735329769,0.0031924079539354957,2
3,70.77109880447388,2.3675007508914496,2.7360809326171873,0.21825827241899376,0.25,500,10,"{'clf__learning_rate': 0.25, 'clf__n_estimators': 500, 'select__k': 10}",0.6399083670923316,0.6460464716247412,0.6435195661585519,0.6545909697197173,0.6437158501154081,0.6455562449421499,0.004925448442508351,3
0,76.33227968215942,0.12976486514880417,2.3893221378326417,0.04949802465804478,0.2,500,10,"{'clf__learning_rate': 0.2, 'clf__n_estimators': 500, 'select__k': 10}",0.6404068461635071,0.6458216005227958,0.6448393086748837,0.6456586673287524,0.6464076495331642,0.6446268144446206,0.002168727454115891,4
4,76.92548418045044,1.0735216273330999,2.578463411331177,0.5081710225040488,0.25,600,10,"{'clf__learning_rate': 0.25, 'clf__n_estimators': 600, 'select__k': 10}",0.6384107658445707,0.6506640402210637,0.6404818367108595,0.6405998877766094,0.6427640252369204,0.6425841111580048,0.004268281483768741,5
2,92.75503840446473,0.1037552283394398,2.859984350204468,0.14148286148180364,0.2,800,10,"{'clf__learning_rate': 0.2, 'clf__n_estimators': 800, 'select__k': 10}",0.6397560838271451,0.64491008961184,0.6416258088194071,0.6411343412121528,0.6425475448826508,0.6419947736706391,0.0017142248593620193,6
7,82.88516430854797,0.19016276346237734,2.376673173904419,0.20871674713714392,0.3,600,10,"{'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'select__k': 10}",0.6383195734949559,0.6417987443425417,0.6401176051717563,0.6399954956980706,0.6399272364359625,0.6400317310286574,0.001102127575119433,7
5,89.6833526134491,0.9996910260435885,3.067203712463379,0.4528425693509327,0.25,800,10,"{'clf__learning_rate': 0.25, 'clf__n_estimators': 800, 'select__k': 10}",0.636082393611574,0.6390692396070276,0.6401323854942794,0.639716241898291,0.6409632357427866,0.6391926992707917,0.0016721931743924644,8
8,72.73945512771607,4.264084321400706,2.3400060176849364,0.34661255287984144,0.3,800,10,"{'clf__learning_rate': 0.3, 'clf__n_estimators': 800, 'select__k': 10}",0.6357383165388508,0.6368430237683443,0.6397346138509953,0.6362378932005252,0.6369282853036227,0.6370964265324676,0.0013880964662559329,9
